Business Contract Tracking Register,,,,,,,,,,,,,
Mock data for illustration purposes only — replace with actual contract records,,,,,,,,,,,,,
,,,,,,,,,,,,,
No.,Types of Services,Name of Contract,Country,Partner,Customer,Note,Effective Date,Start Date,End Date,Responsible By,Remark,Status,Cost of Contract
1,Legal,Corporate Legal Advisory Retainer #1000,Thailand,"Cascade Industries Co., Ltd.",Internal - Procurement,-,25-ต.ค.-2025,25-ต.ค.-2025,04-พ.ค.-2027,Anucha T.,Flagged for cost optimization review,Renewed,"$151,100"
2,Consulting,Business Process Improvement Engagement #1001,Taiwan,"Zenith Industries Co., Ltd.",Internal - Operations,Exclusive regional distribution rights included,16-ส.ค.-2024,16-ส.ค.-2024,30-ต.ค.-2026,Wei N.,Budget approval pending for renewal,Negotiation in progress,"$158,600"
3,Financial Services,Audit & Assurance Engagement #1002,Myanmar,"Unity Logistics Co., Ltd.","Lumen Group Co., Ltd.","Multi-year framework agreement, reviewed yearly",24-พ.ย.-2024,24-พ.ย.-2024,22-ธ.ค.-2026,Anucha S.,"Renewal quote received, under internal review",Negotiation in progress,"$74,400"
4,HR & Payroll,Recruitment Services Agreement #1003,Malaysia,Atlas Systems Sdn Bhd,Internal - Supply Chain,Renewal contingent on performance KPIs,21-มิ.ย.-2025,05-ก.ค.-2025,28-พ.ย.-2026,Yuki L.,Vendor performance review scheduled,Negotiation in progress,"$259,500"
5,Training & Development,Corporate Training Program Agreement #1004,United Kingdom,Cascade Industries Ltd.,Summit Industries Ltd.,Exclusive regional distribution rights included,09-ก.พ.-2024,09-ก.พ.-2024,14-พ.ย.-2026,Michael M.,Vendor performance review scheduled,Negotiation in progress,"$200,100"
6,Telecommunications,VoIP Services Agreement #1005,Indonesia,Metro Systems PT,Delta Ventures PT,Service level agreement reviewed annually,01-เม.ย.-2026,01-เม.ย.-2026,06-ก.ค.-2027,David E.,No issues reported this cycle,Renewed,"$123,900"
7,Marketing,Digital Marketing Retainer #1006,United Kingdom,Atlas Dynamics Ltd.,Internal - E-commerce,Service level agreement reviewed annually,10-ส.ค.-2021,10-ส.ค.-2021,06-ก.ค.-2024,Budi S.,-,Expired/Not renewed,"$278,300"
8,Telecommunications,Internet Leased Line Contract #1007,Hong Kong,Evergreen Capital Ltd.,Nova Capital Ltd.,Includes 24/7 support SLA with penalty clauses,08-มี.ค.-2021,08-มี.ค.-2021,26-ก.พ.-2025,Emily L.,"Renewal quote received, under internal review",Expired/Not renewed,"$427,300"
9,Financial Services,Corporate Banking Services Agreement #1008,India,Metro Logistics Pvt. Ltd.,Internal - Corporate Affairs,Includes 24/7 support SLA with penalty clauses,21-ก.ค.-2020,21-ก.ค.-2020,15-ก.ค.-2024,Anucha P.,Vendor performance review scheduled,Expired/Not renewed,"$154,500"
10,Telecommunications,VoIP Services Agreement #1009,Hong Kong,Solace Networks Ltd.,Lumen Enterprises Ltd.,Volume discount tier applies above threshold spend,05-มี.ค.-2025,05-มี.ค.-2025,14-ก.ย.-2028,Grace L.,-,Renewed,"$188,600"
11,Fleet & Transportation,Fleet Maintenance Agreement #1010,Taiwan,"Crown Industries Co., Ltd.",Internal - Procurement,Includes quarterly business review meetings,19-พ.ย.-2023,19-พ.ย.-2023,25-ก.ย.-2026,Suchada H.,Scope extension being discussed with partner,Upcoming renewal,"$472,500"
12,Waste Management,Recycling Services Agreement #1011,Indonesia,Pinnacle Innovations PT,Internal - Finance Dept.,"Auto-renew clause, 15 days notice required",14-พ.ย.-2023,21-พ.ย.-2023,15-พ.ย.-2026,Carlos D.,-,Upcoming renewal,"$129,200"
13,Software Licensing,Business Intelligence Platform License #1012,Australia,Pacific Industries Pty Ltd,Internal - E-commerce,Renewal contingent on performance KPIs,26-มิ.ย.-2024,26-มิ.ย.-2024,19-พ.ย.-2026,James N.,-,Upcoming renewal,"$1,343,300"
14,Waste Management,Recycling Services Agreement #1013,Thailand,"Horizon Industries Co., Ltd.",Internal - Finance Dept.,Includes quarterly business review meetings,31-ม.ค.-2023,31-ม.ค.-2023,17-มี.ค.-2026,Fatima M.,Legal review in progress before renewal,Expired/Not renewed,"$295,700"
15,Manufacturing Supply,Raw Material Supply Agreement #1014,Taiwan,"Emerald Partners Co., Ltd.",Internal - Admin Dept.,Renewal contingent on performance KPIs,20-มี.ค.-2023,03-เม.ย.-2023,04-ธ.ค.-2026,Suchada K.,-,Upcoming renewal,"$3,685,600"
16,Printing & Publishing,Corporate Printing Services Agreement #1015,Vietnam,Evergreen Consulting JSC,Internal - IT Security,-,27-ส.ค.-2022,10-ก.ย.-2022,26-ม.ค.-2025,Grace D.,Alternative vendors being benchmarked,Expired/Not renewed,"$120,900"
17,Fleet & Transportation,Vehicle Leasing Agreement #1016,Cambodia,"Ivory Services Co., Ltd.","Silverline Services Co., Ltd.",Volume discount tier applies above threshold spend,31-มี.ค.-2024,07-เม.ย.-2024,12-ธ.ค.-2026,Hiroshi M.,Relationship manager reassigned this quarter,Upcoming renewal,"$298,200"
18,Real Estate & Leasing,Retail Unit Lease Contract #1017,Cambodia,"Pacific Consulting Co., Ltd.",Internal - E-commerce,Renewal contingent on performance KPIs,30-พ.ย.-2022,30-พ.ย.-2022,25-ธ.ค.-2025,James L.,No issues reported this cycle,Expired/Not renewed,"$830,800"
19,Printing & Publishing,Annual Report Design & Print Contract #1018,Thailand,"Onyx Technologies Co., Ltd.","Pacific Partners Co., Ltd.",Pricing subject to annual CPI adjustment,02-มี.ค.-2025,02-มี.ค.-2025,10-ก.ย.-2027,Budi D.,Legal review in progress before renewal,Renewed,"$122,900"
20,Printing & Publishing,Annual Report Design & Print Contract #1019,United Arab Emirates,Unity Logistics LLC,Internal - HR Dept.,Renewal contingent on performance KPIs,06-พ.ค.-2024,06-พ.ค.-2024,24-ต.ค.-2026,Piyawan A.,Flagged for cost optimization review,Negotiation in progress,"$149,500"
21,IT Services,Data Center Colocation Contract #1020,Malaysia,Meridian Partners Sdn Bhd,Internal - Supply Chain,"Multi-year framework agreement, reviewed yearly",15-ต.ค.-2023,15-ต.ค.-2023,30-ต.ค.-2026,Emily N.,"Renewal quote received, under internal review",Upcoming renewal,"$2,255,400"
22,Financial Services,Treasury Management Contract #1021,Taiwan,"Zenith Partners Co., Ltd.","Metro Holdings Co., Ltd.",Volume discount tier applies above threshold spend,13-ก.ค.-2023,13-ก.ค.-2023,02-พ.ย.-2026,Daniel A.,-,Upcoming renewal,"$288,800"
23,Travel & Events,Corporate Travel Management Agreement #1022,South Korea,"Quantum Dynamics Co., Ltd.",Internal - Admin Dept.,Renewal contingent on performance KPIs,12-ก.ค.-2025,12-ก.ค.-2025,01-ธ.ค.-2026,Nattapong G.,Flagged for cost optimization review,Negotiation in progress,"$146,900"
24,Construction & Maintenance,Building Renovation Contract #1023,Thailand,"Alliance Systems Co., Ltd.",Internal - Operations,Volume discount tier applies above threshold spend,26-ส.ค.-2024,09-ก.ย.-2024,19-ก.พ.-2028,Kanokwan W.,No issues reported this cycle,Renewed,"$1,968,900"
25,Consulting,Strategy Advisory Retainer #1024,China,"Apex Networks Co., Ltd.",Internal - E-commerce,Volume discount tier applies above threshold spend,25-ม.ค.-2024,08-ก.พ.-2024,15-ธ.ค.-2026,Yuki N.,Flagged for cost optimization review,Upcoming renewal,"$404,100"
26,Insurance,Property & Casualty Insurance Contract #1025,Germany,Sterling Ventures GmbH,Onyx Partners GmbH,"Auto-renew clause, 45 days notice required",14-ม.ค.-2025,21-ม.ค.-2025,29-ก.ย.-2027,Daniel M.,Legal review in progress before renewal,Renewed,"$835,500"
27,Consulting,Strategy Advisory Retainer #1026,Germany,Radiant Services GmbH,Internal - Finance Dept.,"Multi-year framework agreement, reviewed yearly",15-ก.พ.-2024,29-ก.พ.-2024,19-ม.ค.-2028,Tanawat F.,Scope extension being discussed with partner,Renewed,"$428,800"
28,Consulting,Business Process Improvement Engagement #1027,Indonesia,Prime Logistics PT,Internal - Finance Dept.,"Multi-year framework agreement, reviewed yearly",12-ธ.ค.-2022,19-ธ.ค.-2022,20-ม.ค.-2025,Siti N.,-,Expired/Not renewed,"$613,500"
29,Legal,Corporate Legal Advisory Retainer #1028,Germany,Crown Holdings GmbH,Ivory Dynamics GmbH,Includes 24/7 support SLA with penalty clauses,17-ก.ค.-2024,31-ก.ค.-2024,22-ก.ค.-2028,Sarah D.,Flagged for cost optimization review,Renewed,"$363,300"
30,Manufacturing Supply,OEM Production Agreement #1029,Taiwan,"Anchor Holdings Co., Ltd.","Crest Dynamics Co., Ltd.",Volume discount tier applies above threshold spend,29-มิ.ย.-2021,29-มิ.ย.-2021,17-มี.ค.-2025,Sarah I.,Scope extension being discussed with partner,Expired/Not renewed,"$1,170,900"
31,Telecommunications,Satellite Communication Contract #1030,Australia,Sterling Consulting Pty Ltd,Internal - Admin Dept.,"Auto-renew clause, 30 days notice required",22-ธ.ค.-2023,05-ม.ค.-2024,12-พ.ย.-2026,Emily G.,Alternative vendors being benchmarked,Upcoming renewal,"$336,800"
32,Software Licensing,Cybersecurity Software License #1031,Cambodia,"Prime Ventures Co., Ltd.",Internal - Supply Chain,Exclusive regional distribution rights included,14-ก.ค.-2026,21-ก.ค.-2026,14-ต.ค.-2028,Nathan N.,-,Renewed,"$677,800"
33,Software Licensing,Business Intelligence Platform License #1032,Australia,Vanguard Holdings Pty Ltd,Vertex Solutions Pty Ltd,Exclusive regional distribution rights included,18-ม.ค.-2024,18-ม.ค.-2024,20-ส.ค.-2027,Nattapong C.,Scope extension being discussed with partner,Renewed,"$174,600"
34,Training & Development,E-Learning Platform License #1033,Australia,Bright Ventures Pty Ltd,Internal - HR Dept.,Volume discount tier applies above threshold spend,15-ส.ค.-2025,15-ส.ค.-2025,29-พ.ย.-2026,Anucha P.,-,Upcoming renewal,"$75,000"
35,HR & Payroll,Outsourced Payroll Processing Contract #1034,Japan,Prime Partners K.K.,Internal - Finance Dept.,Volume discount tier applies above threshold spend,24-เม.ย.-2026,08-พ.ค.-2026,15-เม.ย.-2028,Fatima O.,Legal review in progress before renewal,Renewed,"$248,800"
36,Legal,Litigation Support Contract #1035,Cambodia,"Prime Technologies Co., Ltd.",Internal - HR Dept.,Includes quarterly business review meetings,27-ส.ค.-2026,27-ส.ค.-2026,05-ม.ค.-2029,Carlos C.,"Renewal quote received, under internal review",Renewed,"$422,900"
37,Fleet & Transportation,Fleet Maintenance Agreement #1036,Singapore,Falcon Networks Pte Ltd,Meridian Capital Pte Ltd,Pricing subject to annual CPI adjustment,13-ส.ค.-2020,13-ส.ค.-2020,12-พ.ค.-2024,Laura A.,Vendor performance review scheduled,Expired/Not renewed,"$401,500"
38,Manufacturing Supply,Packaging Supply Contract #1037,Philippines,Ivory Systems Inc.,Internal - E-commerce,Volume discount tier applies above threshold spend,04-ก.ค.-2022,04-ก.ค.-2022,03-ม.ค.-2025,Siti N.,Relationship manager reassigned this quarter,Expired/Not renewed,"$3,421,700"
39,HR & Payroll,Employee Benefits Administration #1038,France,Pinnacle Ventures SAS,Internal - Finance Dept.,Includes quarterly business review meetings,30-ธ.ค.-2023,30-ธ.ค.-2023,26-พ.ย.-2026,Aiko P.,-,Negotiation in progress,"$353,900"
40,Printing & Publishing,Signage & Print Production Agreement #1039,Japan,Horizon Industries K.K.,Emerald Industries K.K.,"Multi-year framework agreement, reviewed yearly",13-ต.ค.-2025,13-ต.ค.-2025,21-เม.ย.-2027,Tanawat P.,No issues reported this cycle,Renewed,"$48,200"
41,Financial Services,Payment Gateway Services Agreement #1040,United Arab Emirates,Onyx Capital LLC,Internal - Procurement,Pricing subject to annual CPI adjustment,09-ส.ค.-2024,09-ส.ค.-2024,24-พ.ย.-2026,Ahmed O.,Flagged for cost optimization review,Negotiation in progress,"$729,600"
42,Security,Executive Protection Services #1041,Japan,Silverline Innovations K.K.,Internal - Corporate Affairs,Renewal contingent on performance KPIs,20-ธ.ค.-2024,20-ธ.ค.-2024,22-ธ.ค.-2026,Kanokwan G.,Legal review in progress before renewal,Negotiation in progress,"$21,900"
43,Logistics,Freight Forwarding Contract #1042,Singapore,Onyx Technologies Pte Ltd,Vertex Innovations Pte Ltd,"Auto-renew clause, 45 days notice required",03-ส.ค.-2023,03-ส.ค.-2023,21-ม.ค.-2027,Somchai T.,Relationship manager reassigned this quarter,Negotiation in progress,"$372,600"
44,Legal,Corporate Legal Advisory Retainer #1043,Vietnam,Vanguard Innovations JSC,Internal - IT Security,Exclusive regional distribution rights included,04-พ.ค.-2024,04-พ.ค.-2024,25-ต.ค.-2025,Emily E.,No issues reported this cycle,Expired/Not renewed,"$84,300"
45,Real Estate & Leasing,Retail Unit Lease Contract #1044,South Korea,"Ivory Ventures Co., Ltd.",Internal - Finance Dept.,Includes quarterly business review meetings,13-พ.ย.-2025,13-พ.ย.-2025,04-มิ.ย.-2027,Chloe J.,Vendor performance review scheduled,Renewed,"$3,146,300"
46,HR & Payroll,HR Systems Implementation Contract #1045,Philippines,Onyx Consulting Inc.,Internal - HR Dept.,"Multi-year framework agreement, reviewed yearly",20-มี.ค.-2024,27-มี.ค.-2024,27-ต.ค.-2026,Tanawat J.,No issues reported this cycle,Upcoming renewal,"$42,400"
47,Consulting,Strategy Advisory Retainer #1046,Germany,Alliance Industries GmbH,Internal - Operations,Includes quarterly business review meetings,11-มี.ค.-2024,18-มี.ค.-2024,30-ต.ค.-2026,Wanida B.,Legal review in progress before renewal,Upcoming renewal,"$184,300"
